Target distance: 78, Step size: 1
183: (x,y) = (-13.5042, 10.0013)
184: (x,y) = (-14.4553, 9.69233)
185: (x,y) = (-14.1348, 8.74508)
186: (x,y) = (-13.6569, 7.86669)
187: (x,y) = (-14.6016, 7.53877)
188: (x,y) = (-13.9871, 8.32772)
189: (x,y) = (-14.9409, 8.62837)
190: (x,y) = (-15.9278, 8.46704)
191: (x,y) = (-16.8873, 8.74851)
192: (x,y) = (-16.6999, 7.76624)
193: (x,y) = (-15.7114, 7.91767)
194: (x,y) = (-15.3029, 8.83043)
195: (x,y) = (-15.8699, 8.00674)
196: (x,y) = (-16.8127, 8.34002)
197: (x,y) = (-15.8352, 8.12945)
198: (x,y) = (-16.8053, 7.88667)
199: (x,y) = (-17.8026, 7.81357)
200: (x,y) = (-18.3409, 6.97085)
201: (x,y) = (-17.4418, 6.53314)
202: (x,y) = (-18.0597, 7.31942)
203: (x,y) = (-17.1762, 6.85103)
204: (x,y) = (-16.8693, 5.89927)
205: (x,y) = (-17.7535, 5.43208)
206: (x,y) = (-16.8582, 5.87757)
207: (x,y) = (-16.1081, 6.53896)
208: (x,y) = (-15.4054, 7.25037)
209: (x,y) = (-16.2868, 7.72259)
210: (x,y) = (-15.961, 8.668)
211: (x,y) = (-15.2685, 9.38943)
212: (x,y) = (-14.7557, 10.248)
213: (x,y) = (-15.7111, 9.95273)
214: (x,y) = (-14.7587, 10.2575)
215: (x,y) = (-14.9812, 9.28258)
216: (x,y) = (-15.5762, 8.47888)
217: (x,y) = (-15.1366, 9.37704)
218: (x,y) = (-16.0363, 8.94054)
219: (x,y) = (-15.6017, 8.03989)
220: (x,y) = (-16.1231, 7.18655)
221: (x,y) = (-15.4203, 7.89795)
222: (x,y) = (-16.3111, 7.4435)
223: (x,y) = (-16.3633, 6.44487)
224: (x,y) = (-15.7764, 7.25449)
225: (x,y) = (-14.84, 7.60536)
226: (x,y) = (-15.7434, 8.03403)
227: (x,y) = (-14.9531, 7.42129)
228: (x,y) = (-14.0052, 7.73972)
229: (x,y) = (-14.2887, 8.69868)
230: (x,y) = (-15.2064, 9.09602)
231: (x,y) = (-14.2353, 9.33459)
232: (x,y) = (-14.2475, 10.3345)
233: (x,y) = (-13.9598, 9.37679)
234: (x,y) = (-12.9822, 9.16622)
235: (x,y) = (-13.5726, 9.97329)
236: (x,y) = (-13.8754, 9.02021)
237: (x,y) = (-12.9653, 9.43464)
238: (x,y) = (-13.0519, 8.4384)
239: (x,y) = (-12.5866, 7.55324)
240: (x,y) = (-12.3127, 6.59148)
241: (x,y) = (-12.2018, 7.58532)
242: (x,y) = (-11.2321, 7.34124)
243: (x,y) = (-10.2659, 7.08325)
244: (x,y) = (-10.0784, 6.10098)
245: (x,y) = (-10.4407, 7.03306)
246: (x,y) = (-10.7434, 6.07998)
247: (x,y) = (-10.7068, 5.08065)
248: (x,y) = (-10.4857, 4.10541)
249: (x,y) = (-11.3854, 3.66891)
250: (x,y) = (-12.2695, 3.20171)
251: (x,y) = (-13.2586, 3.34885)
252: (x,y) = (-13.5804, 2.40203)
253: (x,y) = (-14.5341, 2.70268)
254: (x,y) = (-15.5241, 2.56117)
255: (x,y) = (-15.1025, 3.46797)
256: (x,y) = (-14.7496, 2.5323)
257: (x,y) = (-13.7572, 2.40933)
258: (x,y) = (-12.9634, 3.01757)
259: (x,y) = (-12.182, 2.39354)
260: (x,y) = (-12.3455, 3.38009)
261: (x,y) = (-11.7915, 2.54759)
262: (x,y) = (-10.8838, 2.12799)
263: (x,y) = (-10.3883, 1.25936)
264: (x,y) = (-10.88, 0.388582)
265: (x,y) = (-10.7208, 1.37583)
266: (x,y) = (-11.7144, 1.48885)
267: (x,y) = (-12.2061, 0.618077)
268: (x,y) = (-12.5034, 1.57286)
269: (x,y) = (-12.5156, 2.57279)
270: (x,y) = (-13.5156, 2.56845)
271: (x,y) = (-14.2907, 3.20028)
272: (x,y) = (-15.2858, 3.29902)
273: (x,y) = (-15.0451, 2.32841)
274: (x,y) = (-15.765, 3.02247)
275: (x,y) = (-16.585, 2.45009)
276: (x,y) = (-17.3814, 3.05488)
277: (x,y) = (-16.502, 3.53092)
278: (x,y) = (-17.104, 4.32942)
279: (x,y) = (-16.8578, 5.29864)
280: (x,y) = (-17.2571, 4.38183)
281: (x,y) = (-17.3381, 5.37855)
282: (x,y) = (-16.3395, 5.32412)
283: (x,y) = (-16.7572, 4.4155)
284: (x,y) = (-15.7606, 4.4986)
285: (x,y) = (-16.7256, 4.23642)
286: (x,y) = (-16.1958, 5.08449)
287: (x,y) = (-15.5858, 4.29206)
288: (x,y) = (-15.1513, 3.39141)
289: (x,y) = (-15.2807, 4.383)
290: (x,y) = (-14.3223, 4.66863)
291: (x,y) = (-15.1187, 5.27342)
292: (x,y) = (-14.493, 6.05347)
293: (x,y) = (-14.6565, 7.04001)
294: (x,y) = (-14.7031, 8.03893)
295: (x,y) = (-13.9307, 8.67412)
296: (x,y) = (-14.93, 8.63538)
297: (x,y) = (-14.9622, 7.6359)
298: (x,y) = (-14.7888, 6.65104)
299: (x,y) = (-14.111, 7.3862)
300: (x,y) = (-14.3945, 8.34516)
301: (x,y) = (-15.2787, 7.87796)
302: (x,y) = (-16.2686, 7.73644)
303: (x,y) = (-15.3892, 8.21248)
304: (x,y) = (-15.8982, 7.35174)
305: (x,y) = (-15.0873, 6.76655)
306: (x,y) = (-14.0997, 6.6095)
307: (x,y) = (-13.2551, 7.14489)
308: (x,y) = (-13.604, 8.08208)
309: (x,y) = (-14.2485, 8.84663)
310: (x,y) = (-15.0396, 8.23495)
311: (x,y) = (-15.29, 9.20309)
312: (x,y) = (-14.4997, 8.59035)
313: (x,y) = (-15.2096, 7.88603)
314: (x,y) = (-14.2102, 7.92043)
315: (x,y) = (-13.2886, 7.53231)
316: (x,y) = (-12.7882, 8.39811)
317: (x,y) = (-13.7649, 8.61293)
318: (x,y) = (-12.9203, 9.14832)
319: (x,y) = (-11.9256, 9.25137)
320: (x,y) = (-12.0122, 8.25513)
321: (x,y) = (-11.4994, 9.11365)
322: (x,y) = (-11.7359, 8.14201)
323: (x,y) = (-11.2962, 9.04018)
324: (x,y) = (-12.239, 9.37346)
325: (x,y) = (-11.2514, 9.21642)
326: (x,y) = (-12.1088, 8.70178)
327: (x,y) = (-11.1164, 8.57881)
328: (x,y) = (-10.1233, 8.69614)
329: (x,y) = (-10.615, 7.82537)
330: (x,y) = (-9.85187, 8.47159)
331: (x,y) = (-10.246, 9.39065)
332: (x,y) = (-11.2071, 9.11464)
333: (x,y) = (-10.2935, 8.70812)
334: (x,y) = (-10.6476, 7.77293)
335: (x,y) = (-10.6054, 8.77204)
336: (x,y) = (-9.95752, 8.01029)
337: (x,y) = (-10.2602, 7.05721)
338: (x,y) = (-10.9349, 6.31911)
339: (x,y) = (-10.6091, 7.26453)
340: (x,y) = (-11.2536, 8.02908)
341: (x,y) = (-11.3489, 9.02453)
342: (x,y) = (-11.2636, 8.02817)
343: (x,y) = (-11.4805, 9.00436)
344: (x,y) = (-11.1037, 9.93063)
345: (x,y) = (-10.9842, 8.9378)
346: (x,y) = (-11.9761, 8.81052)
347: (x,y) = (-12.5431, 7.98682)
348: (x,y) = (-13.521, 7.77756)
349: (x,y) = (-14.2681, 7.11292)
350: (x,y) = (-13.2865, 6.92199)
351: (x,y) = (-13.6165, 7.86598)
352: (x,y) = (-13.429, 6.88371)
353: (x,y) = (-13.8151, 5.96126)
354: (x,y) = (-13.6276, 4.979)
355: (x,y) = (-14.5723, 4.65107)
356: (x,y) = (-14.9399, 3.72107)
357: (x,y) = (-15.419, 2.84332)
358: (x,y) = (-16.3969, 2.63406)
359: (x,y) = (-15.3981, 2.68282)
360: (x,y) = (-16.0686, 3.42474)
361: (x,y) = (-15.1291, 3.08202)
362: (x,y) = (-15.853, 2.39207)
363: (x,y) = (-15.0038, 1.86403)
364: (x,y) = (-14.1732, 1.30709)
365: (x,y) = (-14.7189, 2.1451)
366: (x,y) = (-15.7124, 2.25812)
367: (x,y) = (-14.8868, 2.82225)
368: (x,y) = (-13.9852, 3.25485)
369: (x,y) = (-14.857, 3.74464)
370: (x,y) = (-15.677, 3.17226)
371: (x,y) = (-16.5889, 3.58274)
372: (x,y) = (-15.5912, 3.65151)
373: (x,y) = (-16.3572, 4.29441)
374: (x,y) = (-15.3625, 4.39747)
375: (x,y) = (-15.0831, 5.35764)
376: (x,y) = (-16.0466, 5.6253)
377: (x,y) = (-15.6618, 4.70233)
378: (x,y) = (-14.9023, 4.05179)
379: (x,y) = (-13.9092, 4.16912)
380: (x,y) = (-14.8727, 4.43678)
381: (x,y) = (-14.2248, 3.67503)
382: (x,y) = (-14.9487, 2.98508)
383: (x,y) = (-15.8686, 2.59296)
384: (x,y) = (-15.1557, 1.89173)
385: (x,y) = (-16.0734, 2.28907)
386: (x,y) = (-16.9548, 2.76128)
387: (x,y) = (-16.2918, 2.01268)
388: (x,y) = (-17.2037, 2.42315)
389: (x,y) = (-17.2302, 3.4228)
390: (x,y) = (-16.5315, 2.70741)
391: (x,y) = (-16.2247, 1.75566)
392: (x,y) = (-16.1138, 2.74949)
393: (x,y) = (-15.6793, 1.84884)
394: (x,y) = (-14.7081, 2.08741)
395: (x,y) = (-15.6848, 2.30222)
396: (x,y) = (-15.3266, 3.23587)
397: (x,y) = (-15.0389, 2.27815)
398: (x,y) = (-15.9531, 1.87286)
399: (x,y) = (-16.9231, 1.63008)
400: (x,y) = (-16.8809, 2.62919)
401: (x,y) = (-16.5227, 3.56283)
402: (x,y) = (-16.6521, 4.55442)
403: (x,y) = (-17.5968, 4.2265)
404: (x,y) = (-17.0029, 3.422)
405: (x,y) = (-17.2671, 4.38645)
406: (x,y) = (-16.3307, 4.73731)
407: (x,y) = (-16.8472, 5.5936)
408: (x,y) = (-16.1799, 6.33843)
409: (x,y) = (-15.2293, 6.02823)
410: (x,y) = (-15.9726, 6.6971)
411: (x,y) = (-15.2039, 6.05753)
412: (x,y) = (-14.5627, 6.82487)
413: (x,y) = (-13.5915, 7.06344)
414: (x,y) = (-13.575, 6.06358)
415: (x,y) = (-12.6127, 6.33542)
416: (x,y) = (-12.4733, 5.34517)
417: (x,y) = (-12.1801, 6.30124)
418: (x,y) = (-11.3386, 5.76106)
419: (x,y) = (-11.0592, 6.72124)
420: (x,y) = (-12.0314, 6.95559)
421: (x,y) = (-11.259, 7.59078)
422: (x,y) = (-11.589, 8.53477)
423: (x,y) = (-10.5984, 8.67199)
424: (x,y) = (-9.69073, 8.25239)
425: (x,y) = (-10.3242, 7.47866)
426: (x,y) = (-11.3211, 7.55742)
427: (x,y) = (-12.2026, 8.02964)
428: (x,y) = (-13.1793, 8.24446)
429: (x,y) = (-13.7813, 9.04296)
430: (x,y) = (-12.8115, 8.79888)
431: (x,y) = (-11.8127, 8.84763)
432: (x,y) = (-11.2587, 8.01513)
433: (x,y) = (-11.3539, 9.01059)
434: (x,y) = (-12.2681, 8.6053)
435: (x,y) = (-12.4372, 7.6197)
436: (x,y) = (-11.8159, 6.83611)
437: (x,y) = (-10.9324, 6.36772)
438: (x,y) = (-11.5615, 7.14504)
439: (x,y) = (-10.5684, 7.26237)
440: (x,y) = (-9.7575, 6.67718)
441: (x,y) = (-9.77537, 5.67734)
442: (x,y) = (-9.68446, 6.6732)
443: (x,y) = (-10.3549, 7.41512)
444: (x,y) = (-9.49242, 7.92114)
445: (x,y) = (-9.72335, 8.89411)
446: (x,y) = (-10.141, 7.98549)
447: (x,y) = (-9.58223, 8.81483)
448: (x,y) = (-9.3083, 7.85308)
449: (x,y) = (-8.53957, 7.21351)
450: (x,y) = (-9.30552, 7.85641)
451: (x,y) = (-9.52245, 8.83259)
452: (x,y) = (-9.81975, 9.78738)
453: (x,y) = (-8.82123, 9.73294)
454: (x,y) = (-9.70539, 9.26575)
455: (x,y) = (-9.75198, 10.2647)
456: (x,y) = (-10.4267, 9.52656)
457: (x,y) = (-11.0821, 10.2818)
458: (x,y) = (-11.4815, 9.36497)
459: (x,y) = (-10.8036, 10.1001)
460: (x,y) = (-9.85117, 10.4049)
461: (x,y) = (-8.91173, 10.0622)
462: (x,y) = (-9.83718, 10.4411)
463: (x,y) = (-9.05578, 9.81703)
464: (x,y) = (-8.97918, 10.8141)
465: (x,y) = (-9.30915, 11.7581)
466: (x,y) = (-8.43245, 11.277)
467: (x,y) = (-7.71554, 11.9742)
468: (x,y) = (-7.77648, 12.9724)
469: (x,y) = (-8.12531, 13.9095)
470: (x,y) = (-9.05611, 14.2751)
471: (x,y) = (-10.053, 14.3538)
472: (x,y) = (-9.1833, 14.8474)
473: (x,y) = (-9.63194, 13.9537)
474: (x,y) = (-9.08993, 14.7941)
475: (x,y) = (-10.0666, 15.0089)
476: (x,y) = (-10.3501, 15.9679)
477: (x,y) = (-9.81292, 15.1244)
478: (x,y) = (-10.5368, 14.4345)
479: (x,y) = (-9.69217, 14.9698)
480: (x,y) = (-8.76837, 15.3527)
481: (x,y) = (-9.13062, 16.2848)
482: (x,y) = (-9.59206, 15.3976)
483: (x,y) = (-10.358, 16.0405)
484: (x,y) = (-11.1697, 15.4564)
485: (x,y) = (-11.3529, 16.4395)
486: (x,y) = (-10.4694, 15.9711)
487: (x,y) = (-10.5646, 16.9666)
488: (x,y) = (-9.6302, 16.6104)
489: (x,y) = (-10.29, 15.8589)
490: (x,y) = (-10.6253, 14.9168)
491: (x,y) = (-9.62678, 14.8624)
492: (x,y) = (-8.90385, 14.1715)
493: (x,y) = (-8.23659, 14.9163)
494: (x,y) = (-7.46786, 14.2767)
495: (x,y) = (-6.88091, 15.0863)
496: (x,y) = (-6.93318, 14.0877)
497: (x,y) = (-6.40813, 13.2366)
498: (x,y) = (-7.30783, 12.8001)
499: (x,y) = (-6.32516, 12.9855)
500: (x,y) = (-7.2631, 13.3323)
501: (x,y) = (-6.30476, 13.6179)
502: (x,y) = (-5.90146, 12.7028)
503: (x,y) = (-5.58096, 11.7556)
504: (x,y) = (-4.62854, 12.0604)
505: (x,y) = (-3.64095, 11.9033)
506: (x,y) = (-3.9245, 12.8623)
507: (x,y) = (-4.67167, 12.1976)
508: (x,y) = (-4.07315, 12.9988)
509: (x,y) = (-3.8942, 13.9826)
510: (x,y) = (-3.9951, 12.9877)
511: (x,y) = (-3.74891, 13.9569)
512: (x,y) = (-3.27097, 13.0785)
513: (x,y) = (-4.10706, 13.6271)
514: (x,y) = (-3.30465, 13.0304)
515: (x,y) = (-4.2768, 13.2647)
516: (x,y) = (-3.28075, 13.176)
517: (x,y) = (-2.69841, 12.363)
518: (x,y) = (-2.66184, 11.3637)
519: (x,y) = (-1.74819, 10.9572)
520: (x,y) = (-1.54106, 9.97885)
521: (x,y) = (-2.49479, 10.2795)
522: (x,y) = (-1.53809, 9.98842)
523: (x,y) = (-1.87342, 9.04632)
524: (x,y) = (-1.12715, 8.38068)
525: (x,y) = (-0.438774, 7.65533)
526: (x,y) = (0.175683, 8.44428)
527: (x,y) = (1.13238, 8.15321)
528: (x,y) = (2.13119, 8.20196)
529: (x,y) = (2.09896, 7.20248)
530: (x,y) = (1.90164, 8.18282)
531: (x,y) = (0.938124, 8.45048)
532: (x,y) = (1.78273, 8.98587)
533: (x,y) = (2.46062, 9.72104)
534: (x,y) = (1.60321, 9.2064)
535: (x,y) = (0.665268, 9.5532)
536: (x,y) = (-0.162857, 10.1137)
537: (x,y) = (0.573776, 9.43745)
538: (x,y) = (1.42598, 9.96065)
539: (x,y) = (0.481279, 9.63273)
540: (x,y) = (-0.335441, 10.2098)
541: (x,y) = (0.367341, 10.9212)
542: (x,y) = (1.29114, 11.304)
543: (x,y) = (1.1959, 12.2995)
544: (x,y) = (0.218042, 12.0902)
545: (x,y) = (1.19562, 11.8797)
546: (x,y) = (1.23219, 10.8803)
547: (x,y) = (1.67963, 9.98602)
548: (x,y) = (2.23366, 9.15352)
549: (x,y) = (1.23633, 9.08042)
550: (x,y) = (1.4575, 8.10518)
551: (x,y) = (2.36521, 7.68558)
552: (x,y) = (2.11482, 8.65373)
553: (x,y) = (2.22003, 7.65928)
554: (x,y) = (1.52034, 6.94483)
555: (x,y) = (0.534377, 7.11177)
556: (x,y) = (1.46879, 6.75559)
557: (x,y) = (2.283, 7.33616)
558: (x,y) = (1.31432, 7.58445)
559: (x,y) = (1.32217, 8.58442)
560: (x,y) = (1.87619, 7.75192)
561: (x,y) = (1.82393, 6.75328)
562: (x,y) = (2.80269, 6.9583)
563: (x,y) = (2.87929, 7.95536)
564: (x,y) = (3.34959, 8.83786)
565: (x,y) = (2.6159, 8.15838)
566: (x,y) = (3.60831, 8.0354)
567: (x,y) = (2.74076, 7.53806)
568: (x,y) = (3.08018, 6.59743)
569: (x,y) = (2.40969, 7.33935)
570: (x,y) = (1.49202, 7.73669)
571: (x,y) = (1.58294, 8.73254)
572: (x,y) = (0.583923, 8.77697)
573: (x,y) = (-0.396842, 8.58178)
574: (x,y) = (-1.39683, 8.57744)
575: (x,y) = (-1.88356, 9.45099)
576: (x,y) = (-1.59585, 8.49327)
577: (x,y) = (-1.81278, 9.46946)
578: (x,y) = (-1.40428, 10.3822)
579: (x,y) = (-0.477193, 10.0074)
580: (x,y) = (-0.189481, 9.04966)
581: (x,y) = (0.810318, 9.02961)
582: (x,y) = (1.61272, 8.43284)
583: (x,y) = (0.859819, 9.09096)
584: (x,y) = (1.78362, 9.47384)
585: (x,y) = (2.23106, 8.57952)
586: (x,y) = (3.01246, 7.95549)
587: (x,y) = (3.99122, 8.1605)
588: (x,y) = (4.87474, 7.69212)
589: (x,y) = (4.29594, 6.87665)
590: (x,y) = (3.43853, 6.36202)
591: (x,y) = (4.25274, 6.94259)
592: (x,y) = (3.89858, 6.0074)
593: (x,y) = (3.16489, 5.32792)
594: (x,y) = (2.50513, 4.57644)
595: (x,y) = (3.30754, 3.97966)
596: (x,y) = (3.34979, 4.97877)
597: (x,y) = (2.60263, 4.31413)
598: (x,y) = (2.79011, 3.33186)
599: (x,y) = (3.67628, 3.79522)
600: (x,y) = (4.67392, 3.86399)
601: (x,y) = (3.7089, 3.60181)
602: (x,y) = (3.32803, 4.52644)
603: (x,y) = (3.51551, 3.54418)
604: (x,y) = (2.81989, 4.26259)
605: (x,y) = (3.56036, 4.93468)
606: (x,y) = (4.2016, 5.70203)
607: (x,y) = (4.52747, 6.64744)
608: (x,y) = (3.71075, 7.22447)
609: (x,y) = (2.98689, 6.53452)
610: (x,y) = (2.05609, 6.90005)
611: (x,y) = (1.07533, 6.70486)
612: (x,y) = (1.94221, 6.20635)
613: (x,y) = (1.29332, 5.44547)
614: (x,y) = (2.1602, 4.94697)
615: (x,y) = (3.15901, 4.99572)
616: (x,y) = (2.15946, 5.02579)
617: (x,y) = (2.81166, 5.78384)
618: (x,y) = (2.24932, 6.61075)
619: (x,y) = (2.21708, 5.61127)
620: (x,y) = (3.06929, 6.13447)
621: (x,y) = (3.19442, 7.12661)
622: (x,y) = (3.74844, 6.29411)
623: (x,y) = (3.96961, 5.31888)
624: (x,y) = (4.55194, 4.50593)
625: (x,y) = (3.56082, 4.63885)
626: (x,y) = (4.55845, 4.70762)
627: (x,y) = (3.78335, 5.33945)
628: (x,y) = (2.90186, 5.81167)
629: (x,y) = (3.74647, 6.34706)
630: (x,y) = (3.85168, 5.35261)
631: (x,y) = (3.59579, 4.3859)
632: (x,y) = (2.9211, 3.6478)
633: (x,y) = (2.17772, 4.31668)
634: (x,y) = (1.1835, 4.20931)
635: (x,y) = (2.15463, 4.44788)
636: (x,y) = (1.15464, 4.44354)
637: (x,y) = (2.11542, 4.16623)
638: (x,y) = (1.11617, 4.12749)
639: (x,y) = (2.02388, 3.70789)
640: (x,y) = (1.23278, 3.09621)
641: (x,y) = (1.08349, 4.085)
